,Product,Revenue,Conversion Rate,Unique Pageviews
0,007Jlease0.316606245376631,1870,0.0,1643.4
1,007Ywatch0.906707330424838,1244,0.001025010250102501,975.6
2,017Vorial0.336819995225967,843,0.0,170.2
3,032Olease0.888710698168418,2508,0.0,861.4
4,032ekbook0.534713694668182,3051,0.0028176951253874333,709.8
5,032irview0.686128260621012,943,0.0,5777.8
6,032slease0.110547324875508,2552,0.0011984659635666348,834.4
7,070Ntream0.995054541860071,988,0.0,228.8
8,070htream0.333307794468401,739,0.0,614.2
9,070ttream0.518887735674677,717,0.002699784017278618,370.4
10,08sUkbook0.726049125921119,278,0.0,684.6
11,10-Dhibli0.14039143981496,2302,0.00022747952684258417,4396.0
12,10-Q-sale0.786162644529892,1188,0.0017343045438779048,576.6
13,10-]-year0.598567043745665,1690,0.003234152652005175,309.2
14,100E-info0.758794206933415,1904,0.00018667861409796892,5356.8
15,100Eallet0.86202792398965,2252,0.005512679162072767,181.4
16,100Grseys0.271522111052549,532,0.0,1308.6
17,100Mingle0.812377356586944,1152,0.007575757575757576,132.0
18,100Ot-cap0.0134462335686463,509,0.0,3023.8
19,100Rlease0.268340379371014,1151,0.0,213.4
20,100Rreams0.282963922570843,4872,0.009727626459143969,205.6
21,100[nside0.645837365801341,1186,0.0005316886431305827,1880.8
22,100hement0.470540891016553,683,0.0021204410517387615,471.6
23,100histen0.480572911313933,3105,0.05154639175257732,58.2
24,100okbook0.549659882803086,2110,0.0,1813.2
25,100r-info0.785457657814133,1026,0.0008821453775582216,1133.6
26,101C-info0.974274363285455,1103,0.0004578754578754579,2184.0
27,101Clease0.0503863318066561,1248,0.004945598417408507,202.2
28,101Dlease0.745305177696334,465,0.003489183531053733,286.6
29,101G-info0.94681563230004,2716,0.0,627.6
30,101H-info0.952751257680995,632,0.0,1123.4
31,101Hition0.428000735843647,1098,0.00046851574212893553,2134.4
32,101Kliams0.340353199113213,880,0.0,428.6
33,101Nlease0.799346954252906,3096,0.005847953216374269,513.0
34,101Please0.84856840042231,449,0.0,4404.0
35,101Tation0.58144832266657,434,0.0005746465923457074,1740.2
36,101Tlease0.0653969931249814,792,0.004512635379061372,221.6
37,101W-info0.814078992987125,5548,0.003756574004507889,266.2
38,101]rce-10.242576440354746,3873,0.005291005291005291,567.0
39,101_acket0.10838874456727,2092,0.01366120218579235,292.8
40,101_lease0.913997658703617,797,0.001885369532428356,530.4
41,101`ercar0.590103422236871,1242,0.0,1365.4
42,101alease0.111471253058522,1345,0.0,542.2
43,101alease0.534534372344422,1374,0.0032808398950131233,304.8
44,101blease0.719137382278244,674,0.0,219.0
45,101clease0.915823550778048,1172,0.0019252984212552947,519.4
46,101fblack0.733233855586192,3964,0.006184291898577613,323.4
47,101klease0.412246055390047,1156,0.0,274.4
48,101klease0.455008653652148,1158,0.005263157894736842,190.0
49,101llease0.396512303373008,1746,0.0,974.4
50,101please0.898831829230717,978,0.0,248.0
51,101qlease0.633135891910854,254,0.0010948105977665863,913.4
52,101s-info0.671227295694652,524,0.0021340162185232605,468.6
53,101slease0.843780350063455,2346,0.009683666881859263,309.8
54,101ulease0.820228006799245,3280,0.012195121951219513,246.0
55,11-Xtable0.51542718837655,3081,0.0008793527963418923,1137.2
56,15-Gspace0.654891466977695,2658,0.0036496350364963502,274.0
57,16-W-info0.123441458828651,2538,0.0019047619047619048,525.0
58,17-Id-day0.881755395091463,1580,9.788566953797964e-05,10216.0
59,18-P-info0.890362171507154,1814,0.003703703703703704,270.0
60,18-`lease0.952310074301681,478,0.0,1095.2
61,18-fkbook0.0507667890809922,1187,0.0,1039.0
62,18-j-info0.625903714672513,785,0.0017053206002728514,586.4
63,18mO-look0.123943498316578,2642,0.0006849315068493151,2920.0
64,195Cction0.86055362922359,1572,0.0,782.6
65,195Nacing0.790692150708995,1056,0.002175805047867711,919.2
66,195_e-car0.0716760585215543,898,0.002310536044362292,432.8
67,195ef-one0.581252589466607,1152,0.0,159.4
68,195lction0.0671003825064809,504,0.0,455.2
69,196Mercar0.576265656867539,1082,0.0,463.6
70,196Oction0.317395416979071,1932,0.003750937734433608,533.2
71,196massic0.334446238339602,1522,0.0016806722689075631,595.0
72,197Ee-jdm0.954789494451241,1640,0.0008623663332183512,1159.6
73,197Kction0.193865263500637,395,0.0012768130745658835,783.2
74,197f4-suv0.9759880803651,662,0.0009805844283192783,1019.8
75,197zginal0.0374548006914871,1976,0.0008955758552749418,1116.6
76,198Ntream0.39356561110864,2780,0.036101083032490974,55.4
77,198Yn-red0.154033770659143,2346,0.0027685492801771874,722.4
78,198import0.185194638074351,2595,0.0009894132779261896,2021.4
79,199Gailer0.647678041378019,304,0.0,2204.6
80,199Rction0.43878626813865,1396,0.0015206812652068125,657.6
81,199Tailer0.66086967008704,1520,0.0,322.0
82,199dstoms0.482950258092033,832,0.000777181938291754,2573.4
83,199hction0.594096239988115,2686,0.0,384.4
84,199je-90s0.603461118024506,1257,0.0013732491073880802,1456.4
85,199k-sale0.739204414887206,792,0.0002612739718869206,3827.4
86,199kassic0.148714723999901,553,0.0,1260.8
87,199y-sale0.526062271234831,2103,0.0014625585023400937,2051.2
88,1xrgction0.825237641717405,1391,0.0,183.2
89,1xrkx-day0.218092164607982,2937,0.003182686187141948,314.2
90,2-cFtream0.0419708609764862,2746,0.004032258064516129,248.0
91,2-cMwatch0.426712546357366,931,0.0031036623215394167,322.2
92,2-cPvideo0.38275593287073,1138,0.004748338081671415,210.6
93,2-cVtream0.629488215659842,823,0.001516990291262136,659.2
94,2-ceement0.0351629936642824,605,0.0011756407241946861,850.6
95,2-cmerzuz0.137783607107739,2886,0.005296610169491525,377.6
96,2-cp-date0.947585446482113,1308,0.0,408.2
97,2-ctvideo0.856100753168697,2416,0.002175805047867711,459.6
98,200]ercar0.618497527459371,1392,0.0,1215.8
99,200mailer0.486986878722981,2799,0.0070126227208976155,427.8
100,200mjapan0.97887528256856,502,0.0,2808.0
101,201B-rare0.316265749822378,3084,0.0002932379332590464,3410.2
102,201Xid-190.870000641746017,5332,0.0013070186903672723,3060.4
103,202B-suvs0.855790508060056,5004,0.0009339684318670029,4282.8
104,202C-cars0.111561593269766,1892,0.0018308311973636029,1092.4
105,202Dcraft0.099892956087714,982,0.0017876296031462283,559.4
106,202Hation0.124108466630179,422,0.0,452.4
107,202Hvirus0.137339404488466,2528,0.00573394495412844,174.4
108,202J-sxsw0.631310199317054,2961,0.009560229445506692,209.2
109,202Je-car0.678269402106474,210,0.0004308859014133057,2320.8
110,202Jquavo0.240714382658599,776,0.0009000900090009,1111.0
111,202Kbally0.276311870587237,1033,0.0,787.2
112,202L-list0.76411786927523,840,0.001474491300501327,678.2
113,202L-utah0.717354602863788,1154,0.0010473397570171764,954.8
114,202Lon-ho0.630326939818997,1090,0.0,377.6
115,202Lussle0.878936020713071,1062,0.0007191140514885661,1390.6
116,202Q-info0.77744941953268,670,0.0009054690329590728,1104.4
117,202Qassic0.531948620563816,891,0.003586800573888092,278.8
118,202R-news0.323627755406621,484,0.0,916.0
119,202Sababy0.238296360857359,790,0.003443526170798898,290.4
120,202Stwigs0.920946364931357,4134,0.0,133.0
121,202Ucovid0.0942295644891539,1020,0.0016291951775822746,613.8
122,202Vunmpo0.730381614168138,933,0.0008481764206955047,1179.0
123,202W-full0.157557428800469,708,0.0005534034311012728,3614.0
124,202Xition0.42700707003631,1812,0.00030567952558537627,3271.4
125,202\10-hp0.0528156291105135,921,0.0,607.4
126,202_olors0.770766073591326,3195,0.00019615535504119262,5098.0
127,202`d-w120.406427082959951,764,0.0,1625.8
128,202`jones0.409815604449228,3435,0.010578279266572637,283.6
129,202a-list0.885759808427325,2072,0.010718113612004287,186.6
130,202an-car0.409768229735079,806,0.0,1627.4
131,202auv-v80.384887761034359,912,0.0,2870.2
132,202brcial0.777334380284472,684,0.0014044943820224719,1424.0
133,202by-hbo0.30064659070512,4736,0.02865329512893983,69.8
134,202cce-ev0.287413682275221,1033,0.0,417.0
135,202cricch0.246763958725388,2464,0.0,499.0
136,202g-list0.190817846305295,2660,0.0004297747980058449,2326.8
137,202ganada0.700452792919823,332,0.037037037037037035,81.0
138,202gement0.0619867715181004,651,0.0,7943.6
139,202gussle0.195714355726391,1890,0.0034317089910775567,291.4
140,202junits0.332297868747705,1325,0.0,1005.6
141,202k-20210.175741628278938,626,0.001918649270913277,521.2
142,202manada0.622539934157462,5416,0.005656108597285068,530.4
143,202nrande0.867582396610235,892,0.0,664.8
144,202pormat0.0949736241842147,868,0.011286681715575621,88.6
145,202roenix0.530185389937545,2270,0.001987281399046105,503.2
146,202rvideo0.0198947312483128,392,0.009140767824497258,109.4
147,202t-look0.423909667430206,1768,0.0008128759551292473,1230.2
148,202u-look0.416764620840298,2738,0.001984914648670107,1007.6
149,202vercar0.842480009425592,1050,0.0004171533455698315,2397.2
150,202wmiere0.187461637421338,1144,0.0018135654697134568,551.4
151,202x-info0.758714081860675,2096,0.0022851919561243145,437.6
152,202y-info0.218993769769891,2736,0.0,432.4
153,202z-info0.969008098463801,2742,0.001918281220026856,1042.6
154,202zy-suv0.693874694115177,2808,0.002701242571582928,740.4
155,21-Itream0.893281516476818,5256,0.0030303030303030303,660.0
156,21-Qvideo0.717702064031928,734,0.0,278.0
157,21-Zd-2000.103864194093989,209,0.0,335.0
158,21-[video0.253660063617878,1278,0.007961783439490446,125.6
159,21-^aques0.476472597278095,884,0.0,227.8
160,21-action0.708711119454427,2192,0.0022701475595913734,881.0
161,21-ftream0.0918154792987022,2116,0.0010204081632653062,2940.0
162,21-ltream0.373344891942851,2388,0.0,446.0
163,21-oailer0.327582513642227,1248,0.0010080645161290322,992.0
164,21-please0.467286828007076,798,0.0010857763300760044,1842.0
165,22gYtream0.135945619375594,1154,0.0030581039755351682,327.0
166,24-[k-ong0.79547656667116,957,0.001025010250102501,975.6
167,24-utream0.807540941943178,824,0.0029904306220095694,334.4
168,24-z013010.0179723763144171,604,0.0053533190578158455,186.8
169,24hgcfect0.197177775327985,708,0.014492753623188406,69.0
170,24kx-info0.513770690759151,1364,0.008688097306689836,230.2
171,2g-K-info0.930249681754587,1238,0.0016852039096730705,593.4
172,2g-aation0.859210237517232,72,0.0,257.0
173,2kbHvideo0.45141791854193,531,0.0,97.8
174,2pa]lease0.97909608683043,560,0.0015186028853454822,1317.0
175,2pau-cole0.438968574652275,1984,0.00031070374398011494,6437.0
176,3-pRbills0.132910459278047,3666,0.006558810668998689,457.4
177,3-pfpital0.310721045859117,1119,0.0,97.4
178,3-pjkbook0.185515829374381,2006,0.00791139240506329,252.8
179,3-pofloyd0.894357833787553,2666,0.008787346221441126,227.6
180,30-^-info0.636566172015436,1208,0.0,116.2
181,30-imoval0.0337150248806154,411,0.0023169601482854493,431.6
182,30t]-info0.941601580261789,2400,0.0,376.0
183,343mlease0.794977730394533,751,0.0,272.4
184,3m-N9-1000.852727292753345,864,0.0044964028776978415,667.2
185,3ohntream0.299238225407718,420,0.002655337227827934,376.6
186,3siBrview0.0205810155874924,1068,0.0,412.0
187,4-mt-info0.605448028323859,4328,0.0006075334143377885,4938.0
188,40sOation0.926030785482897,654,0.002673082063619353,748.2
189,42-Ktream0.255073096158192,1056,0.0,83.4
190,42-wtream0.655451101190573,1638,0.01002004008016032,199.6
191,42-y-info0.907110437504315,500,0.0,194.2
192,424Ilease0.0493990453662508,402,0.0002958930050893597,3379.6
193,424M-info0.570535324096433,559,0.0008685079034219211,1151.4
194,424Pation0.125685837338963,1263,0.0031036623215394167,322.2
195,424ekbook0.250617686253124,4017,0.0,2596.0
196,424ulerin0.801442558297791,768,0.0019033117624666922,525.4
197,432Mlease0.312234686730147,742,0.0,110.2
198,45rB-20200.548846646526832,1228,0.0032615786040443573,306.6
199,47-U-news0.649070932195671,996,0.0,234.4
200,4diTkbook0.0617020208283796,2172,0.0,381.2
201,5-msstats0.848292028607599,487,5.769275148270371e-05,17333.2
202,5-sUpdate0.489376152633125,418,0.0,1125.4
203,50-Mailer0.910775663604597,548,0.0017705382436260626,564.8
204,50-Mcover0.87010805841898,406,0.0004214430209035738,2372.8
205,50-Uvideo0.964098731306968,1262,0.0,1849.0
206,50-[video0.83026595721197,982,0.000737354372511429,1356.2
207,50-]-info0.849975531224039,664,0.0012853470437017994,778.0
208,50-c-info0.639768686303895,3604,0.003069367710251688,325.8
209,50-galbum0.0816899148577621,2774,0.0009147457006952067,1093.2
210,50-ksacre0.658649416923401,430,0.003549875754348598,563.4
211,50-m-info0.793488395425073,965,0.0,1148.6
212,50-w-deal0.297429565686954,700,0.0,224.2
213,6-mJpsule0.435924547203861,459,0.0,1011.8
214,645Kvideo0.560252163646789,1273,0.0,54.0
215,645dfilms0.781175678156533,393,0.0,252.8
216,645rvideo0.139050118746241,1512,0.0056116722783389455,356.4
217,6lagtream0.443769997762255,2240,0.00578368999421631,345.8
218,6lagvideo0.416888277282645,2598,0.005235602094240838,191.0
219,6layenter0.832904875099387,1986,0.003723008190618019,268.6
220,6lazicial0.055748605723633,1442,0.0026164311878597592,382.2
221,7-mCwhite0.972625717093198,1281,0.0,3579.0
222,7-mMation0.957598346238861,512,0.00036845983787767134,2714.0
223,7-mQeaser0.198718274049261,754,0.0,1663.0
224,7-m^lease0.539409418009175,1443,0.0020876826722338203,479.0
225,7-mg-date0.146766008832849,1202,0.00029250884839266387,6837.4
226,777ilease0.128148222305678,733,0.0,907.0
227,777ivisit0.25749194990807,2520,0.0007978935609989628,2506.6
228,777lrowns0.0536185632095171,132,0.0012933264355923435,773.2
229,88gHklist0.785374732692047,1473,0.022156573116691284,135.4
230,88gNwatch0.891084751811559,254,0.0,51.6
231,88gcklist0.797827632792587,1620,0.002400384061449832,416.6
232,88rYwatch0.633803519873775,2900,0.010582010582010581,189.0
233,88r`ising0.265000964362895,1244,0.002508780732563974,398.6
234,88ri-info0.0750377918957846,1240,0.004091653027823241,244.4
235,88rjlease0.293869316130583,569,0.0008322237017310254,1201.6
236,88rrement0.368980190134601,633,0.0,652.4
237,8diSction0.00449859813759779,471,0.0,563.0
238,8di]kbook0.857105217055033,694,0.001366120218579235,732.0
239,8fiVlease0.435396686019637,6225,0.006036824630244491,662.6
240,8fizlease0.746414362280562,956,0.002288329519450801,437.0
241,99pGlease0.757525010534925,1053,0.007552870090634441,264.8
242,99prkbook0.549724188563979,2488,0.0022401433691756276,446.4
243,a-bC-look0.212855017738934,1064,0.0,329.6
244,a-bGation0.367454220314692,1274,0.00043840420868040335,2281.0
245,a-bJction0.217160149482769,1060,0.000647332988089073,1544.8
246,a-b\-info0.80148184446991,2758,0.0014738393515106854,1357.0
247,a-b]lease0.968431357379175,2682,0.0,3688.8
248,a-b^ation0.232219024536589,551,0.0,223.2
249,a-baement0.598453644714642,1810,0.00034626038781163435,5776.0
250,a-biement0.578355080364413,1037,0.0034578146611341635,289.2
251,a-bktream0.925891243964021,1294,0.0,541.2
252,a-bl-info0.196441238885947,174,0.0,789.4
253,a-bo-info0.46126563024626,633,0.0016801075268817202,595.2
254,a-boction0.0265643024778779,673,0.0,1458.2
255,a-bqagram0.529593641355192,873,0.0021654395842356,461.8
256,a-bqeware0.515276691552202,876,0.0013415615776764154,745.4
257,a-bwtream0.427568717050858,581,0.007763975155279502,128.8
258,a-bxxtape0.848848546659956,3978,0.0,343.4
259,a-cClease0.167928605630817,757,0.625,1.6
260,a-cE-date0.968750310815833,1398,0.0,1772.4
261,a-cE-ross0.434402832225292,2118,0.0026157467957101752,764.6
262,a-cFation0.51984865845612,785,0.0,448.4
